station,date,timestamp,lon,lat,elevation,temp,dewpt,wind_dir,wind_speed,press
SAZS,2020-01-01 00:00,1577847600.0,-71.1575,-41.1512,840.00,23.0,7.0,270.0,7.0,1015.0
SAZS,2020-01-01 01:00,1577851200.0,-71.1575,-41.1512,840.00,21.0,8.0,270.0,6.0,1015.0
SAZS,2020-01-01 02:00,1577854800.0,-71.1575,-41.1512,840.00,17.0,7.0,140.0,4.0,1016.0
SAZS,2020-01-01 03:00,1577858400.0,-71.1575,-41.1512,840.00,16.0,7.0,140.0,4.0,1016.0
SAZS,2020-01-01 04:00,1577862000.0,-71.1575,-41.1512,840.00,15.0,7.0,180.0,5.0,1016.0
SAZS,2020-01-01 05:00,1577865600.0,-71.1575,-41.1512,840.00,15.0,6.0,180.0,5.0,1017.0
SAZS,2020-01-01 06:00,1577869200.0,-71.1575,-41.1512,840.00,15.0,5.0,180.0,7.0,1016.0
SAZS,2020-01-01 07:00,1577872800.0,-71.1575,-41.1512,840.00,14.0,4.0,180.0,6.0,1016.0
SAZS,2020-01-01 08:00,1577876400.0,-71.1575,-41.1512,840.00,14.0,4.0,180.0,6.0,1016.0
SAZS,2020-01-01 09:00,1577880000.0,-71.1575,-41.1512,840.00,14.0,4.0,180.0,9.0,1016.0
SAZS,2020-01-01 10:00,1577883600.0,-71.1575,-41.1512,840.00,13.0,4.0,180.0,6.0,1016.0
SAZS,2020-01-01 11:00,1577887200.0,-71.1575,-41.1512,840.00,18.0,5.0,180.0,6.0,1016.0
SAZS,2020-01-01 12:00,1577890800.0,-71.1575,-41.1512,840.00,22.0,5.0,70.0,7.0,1016.0
SAZS,2020-01-01 13:00,1577894400.0,-71.1575,-41.1512,840.00,24.0,6.0,0.0,0.0,1016.0
SAZS,2020-01-01 14:00,1577898000.0,-71.1575,-41.1512,840.00,26.0,6.0,70.0,5.0,1016.0
SAZS,2020-01-01 16:00,1577905200.0,-71.1575,-41.1512,840.00,29.0,8.0,340.0,12.0,1014.0
SAZS,2020-01-01 17:00,1577908800.0,-71.1575,-41.1512,840.00,30.0,9.0,340.0,14.0,1014.0
SAZS,2020-01-01 18:00,1577912400.0,-71.1575,-41.1512,840.00,31.0,10.0,360.0,12.0,1013.0
SAZS,2020-01-01 18:20,1577913600.0,-71.1575,-41.1512,840.00,26.0,15.0,360.0,12.0,1013.0
SAZS,2020-01-01 18:40,1577914800.0,-71.1575,-41.1512,840.00,16.0,15.0,360.0,12.0,1013.0
SAZS,2020-01-01 19:00,1577916000.0,-71.1575,-41.1512,840.00,19.0,12.0,60.0,9.0,1013.0
SAZS,2020-01-01 19:30,1577917800.0,-71.1575,-41.1512,840.00,19.0,12.0,60.0,9.0,1013.0
SAZS,2020-01-01 19:45,1577918700.0,-71.1575,-41.1512,840.00,18.0,12.0,60.0,9.0,1013.0
SAZS,2020-01-01 20:00,1577919600.0,-71.1575,-41.1512,840.00,19.0,12.0,350.0,9.0,1013.0
SAZS,2020-01-01 21:00,1577923200.0,-71.1575,-41.1512,840.00,19.0,15.0,140.0,8.0,1013.0
SAZS,2020-01-01 22:00,1577926800.0,-71.1575,-41.1512,840.00,19.0,14.0,190.0,8.0,1014.0
SAZS,2020-01-01 23:00,1577930400.0,-71.1575,-41.1512,840.00,18.0,15.0,310.0,6.0,1015.0
SAZS,2020-01-01 23:45,1577933100.0,-71.1575,-41.1512,840.00,18.0,15.0,310.0,6.0,1015.0
SAZS,2020-01-02 00:00,1577934000.0,-71.1575,-41.1512,840.00,17.0,15.0,140.0,7.0,1015.0
SAZS,2020-01-02 01:00,1577937600.0,-71.1575,-41.1512,840.00,18.0,14.0,70.0,6.0,1016.0
SAZS,2020-01-02 02:00,1577941200.0,-71.1575,-41.1512,840.00,16.0,14.0,180.0,5.0,1016.0
SAZS,2020-01-02 03:00,1577944800.0,-71.1575,-41.1512,840.00,16.0,13.0,180.0,6.0,1016.0
SAZS,2020-01-02 04:00,1577948400.0,-71.1575,-41.1512,840.00,15.0,13.0,240.0,4.0,1016.0
SAZS,2020-01-02 05:00,1577952000.0,-71.1575,-41.1512,840.00,14.0,13.0,0.0,0.0,1016.0
SAZS,2020-01-02 06:00,1577955600.0,-71.1575,-41.1512,840.00,12.0,11.0,150.0,4.0,1016.0
SAZS,2020-01-02 07:00,1577959200.0,-71.1575,-41.1512,840.00,12.0,11.0,180.0,5.0,1016.0
SAZS,2020-01-02 08:00,1577962800.0,-71.1575,-41.1512,840.00,11.0,10.0,180.0,4.0,1016.0
SAZS,2020-01-02 09:00,1577966400.0,-71.1575,-41.1512,840.00,11.0,10.0,170.0,5.0,1016.0
SAZS,2020-01-02 10:00,1577970000.0,-71.1575,-41.1512,840.00,11.0,10.0,230.0,4.0,1017.0
SAZS,2020-01-02 12:00,1577977200.0,-71.1575,-41.1512,840.00,17.0,13.0,0.0,0.0,1018.0
SAZS,2020-01-02 15:00,1577988000.0,-71.1575,-41.1512,840.00,23.0,12.0,290.0,6.0,1017.0
SAZS,2020-01-02 16:00,1577991600.0,-71.1575,-41.1512,840.00,25.0,8.0,290.0,6.0,1017.0
SAZS,2020-01-02 17:00,1577995200.0,-71.1575,-41.1512,840.00,26.0,9.0,290.0,10.0,1016.0
SAZS,2020-01-02 18:00,1577998800.0,-71.1575,-41.1512,840.00,27.0,6.0,290.0,11.0,1016.0
SAZS,2020-01-02 19:00,1578002400.0,-71.1575,-41.1512,840.00,28.0,4.0,310.0,9.0,1015.0
SAZS,2020-01-02 20:00,1578006000.0,-71.1575,-41.1512,840.00,29.0,4.0,320.0,12.0,1015.0
SAZS,2020-01-02 21:00,1578009600.0,-71.1575,-41.1512,840.00,29.0,8.0,300.0,14.0,1015.0
SAZS,2020-01-02 22:00,1578013200.0,-71.1575,-41.1512,840.00,27.0,9.0,290.0,16.0,1014.0
SAZS,2020-01-02 23:00,1578016800.0,-71.1575,-41.1512,840.00,27.0,10.0,290.0,13.0,1015.0
SAZS,2020-01-03 00:00,1578020400.0,-71.1575,-41.1512,840.00,23.0,8.0,310.0,11.0,1016.0
SAZS,2020-01-03 01:00,1578024000.0,-71.1575,-41.1512,840.00,19.0,9.0,290.0,7.0,1016.0
SAZS,2020-01-03 02:00,1578027600.0,-71.1575,-41.1512,840.00,19.0,9.0,290.0,9.0,1017.0
SAZS,2020-01-03 03:00,1578031200.0,-71.1575,-41.1512,840.00,17.0,9.0,0.0,0.0,1017.0
SAZS,2020-01-03 04:00,1578034800.0,-71.1575,-41.1512,840.00,14.0,9.0,180.0,5.0,1018.0
SAZS,2020-01-03 05:00,1578038400.0,-71.1575,-41.1512,840.00,13.0,7.0,180.0,6.0,1018.0
SAZS,2020-01-03 06:00,1578042000.0,-71.1575,-41.1512,840.00,13.0,6.0,180.0,5.0,1018.0
SAZS,2020-01-03 07:00,1578045600.0,-71.1575,-41.1512,840.00,11.0,6.0,170.0,5.0,1018.0
SAZS,2020-01-03 08:00,1578049200.0,-71.1575,-41.1512,840.00,11.0,6.0,180.0,6.0,1018.0
SAZS,2020-01-03 09:00,1578052800.0,-71.1575,-41.1512,840.00,10.0,5.0,180.0,4.0,1018.0
SAZS,2020-01-03 10:00,1578056400.0,-71.1575,-41.1512,840.00,11.0,5.0,180.0,5.0,1019.0
SAZS,2020-01-03 11:00,1578060000.0,-71.1575,-41.1512,840.00,13.0,7.0,160.0,3.0,1019.0
SAZS,2020-01-03 12:00,1578063600.0,-71.1575,-41.1512,840.00,17.0,8.0,0.0,0.0,1019.0
SAZS,2020-01-03 13:00,1578067200.0,-71.1575,-41.1512,840.00,19.0,8.0,320.0,5.0,1018.0
SAZS,2020-01-03 14:00,1578070800.0,-71.1575,-41.1512,840.00,21.0,7.0,290.0,14.0,1017.0
SAZS,2020-01-03 15:00,1578074400.0,-71.1575,-41.1512,840.00,24.0,6.0,290.0,15.0,1017.0
SAZS,2020-01-03 16:00,1578078000.0,-71.1575,-41.1512,840.00,25.0,5.0,290.0,25.0,1016.0
SAZS,2020-01-03 17:00,1578081600.0,-71.1575,-41.1512,840.00,26.0,5.0,290.0,22.0,1016.0
SAZS,2020-01-03 18:00,1578085200.0,-71.1575,-41.1512,840.00,27.0,4.0,290.0,23.0,1016.0
SAZS,2020-01-03 19:00,1578088800.0,-71.1575,-41.1512,840.00,26.0,7.0,290.0,23.0,1017.0
SAZS,2020-01-03 20:00,1578092400.0,-71.1575,-41.1512,840.00,25.0,4.0,290.0,27.0,1017.0
SAZS,2020-01-03 21:00,1578096000.0,-71.1575,-41.1512,840.00,24.0,5.0,290.0,25.0,1017.0
SAZS,2020-01-03 22:00,1578099600.0,-71.1575,-41.1512,840.00,23.0,6.0,290.0,25.0,1017.0
SAZS,2020-01-03 23:00,1578103200.0,-71.1575,-41.1512,840.00,22.0,8.0,290.0,16.0,1018.0
SAZS,2020-01-04 00:00,1578106800.0,-71.1575,-41.1512,840.00,19.0,9.0,290.0,20.0,1019.0
SAZS,2020-01-04 01:00,1578110400.0,-71.1575,-41.1512,840.00,19.0,9.0,290.0,12.0,1019.0
SAZS,2020-01-04 02:00,1578114000.0,-71.1575,-41.1512,840.00,17.0,9.0,270.0,8.0,1019.0
SAZS,2020-01-04 03:00,1578117600.0,-71.1575,-41.1512,840.00,16.0,9.0,270.0,9.0,1019.0
SAZS,2020-01-04 04:00,1578121200.0,-71.1575,-41.1512,840.00,16.0,9.0,290.0,14.0,1019.0
SAZS,2020-01-04 05:00,1578124800.0,-71.1575,-41.1512,840.00,14.0,9.0,290.0,8.0,1019.0
SAZS,2020-01-04 06:00,1578128400.0,-71.1575,-41.1512,840.00,14.0,9.0,290.0,16.0,1018.0
SAZS,2020-01-04 07:00,1578132000.0,-71.1575,-41.1512,840.00,14.0,8.0,290.0,8.0,1018.0
SAZS,2020-01-04 08:00,1578135600.0,-71.1575,-41.1512,840.00,10.0,6.0,230.0,3.0,1018.0
SAZS,2020-01-04 09:00,1578139200.0,-71.1575,-41.1512,840.00,8.0,3.0,210.0,4.0,1019.0
SAZS,2020-01-04 10:00,1578142800.0,-71.1575,-41.1512,840.00,8.0,2.0,180.0,6.0,1019.0
SAZS,2020-01-04 11:00,1578146400.0,-71.1575,-41.1512,840.00,12.0,3.0,180.0,3.0,1020.0
SAZS,2020-01-04 12:00,1578150000.0,-71.1575,-41.1512,840.00,15.0,4.0,290.0,8.0,1020.0
SAZS,2020-01-04 13:00,1578153600.0,-71.1575,-41.1512,840.00,16.0,3.0,290.0,10.0,1020.0
SAZS,2020-01-04 14:00,1578157200.0,-71.1575,-41.1512,840.00,18.0,0.0,290.0,11.0,1019.0
SAZS,2020-01-04 15:00,1578160800.0,-71.1575,-41.1512,840.00,19.0,-13.0,290.0,12.0,1018.0
SAZS,2020-01-04 16:00,1578164400.0,-71.1575,-41.1512,840.00,21.0,-3.0,290.0,12.0,1017.0
SAZS,2020-01-04 17:00,1578168000.0,-71.1575,-41.1512,840.00,22.0,-4.0,290.0,16.0,1016.0
SAZS,2020-01-04 18:00,1578171600.0,-71.1575,-41.1512,840.00,22.0,-1.0,290.0,22.0,1015.0
SAZS,2020-01-04 19:00,1578175200.0,-71.1575,-41.1512,840.00,23.0,-3.0,290.0,20.0,1015.0
SAZS,2020-01-04 20:00,1578178800.0,-71.1575,-41.1512,840.00,24.0,-1.0,320.0,20.0,1014.0
SAZS,2020-01-04 21:00,1578182400.0,-71.1575,-41.1512,840.00,23.0,-2.0,290.0,21.0,1013.0
SAZS,2020-01-04 22:00,1578186000.0,-71.1575,-41.1512,840.00,21.0,0.0,290.0,20.0,1013.0
SAZS,2020-01-04 23:00,1578189600.0,-71.1575,-41.1512,840.00,20.0,0.0,290.0,21.0,1013.0
SAZS,2020-01-05 00:00,1578193200.0,-71.1575,-41.1512,840.00,17.0,4.0,290.0,19.0,1013.0
SAZS,2020-01-05 01:00,1578196800.0,-71.1575,-41.1512,840.00,15.0,5.0,290.0,19.0,1013.0
SAZS,2020-01-05 02:00,1578200400.0,-71.1575,-41.1512,840.00,14.0,5.0,300.0,14.0,1014.0
SAZS,2020-01-05 03:00,1578204000.0,-71.1575,-41.1512,840.00,12.0,5.0,280.0,12.0,1013.0
SAZS,2020-01-05 04:00,1578207600.0,-71.1575,-41.1512,840.00,11.0,5.0,280.0,15.0,1013.0
SAZS,2020-01-05 05:00,1578211200.0,-71.1575,-41.1512,840.00,11.0,4.0,280.0,18.0,1013.0
SAZS,2020-01-05 06:00,1578214800.0,-71.1575,-41.1512,840.00,10.0,4.0,290.0,14.0,1012.0
SAZS,2020-01-05 07:00,1578218400.0,-71.1575,-41.1512,840.00,9.0,2.0,300.0,11.0,1012.0
SAZS,2020-01-05 08:00,1578222000.0,-71.1575,-41.1512,840.00,9.0,2.0,290.0,14.0,1012.0
SAZS,2020-01-05 09:00,1578225600.0,-71.1575,-41.1512,840.00,9.0,2.0,280.0,13.0,1011.0
SAZS,2020-01-05 10:00,1578229200.0,-71.1575,-41.1512,840.00,9.0,2.0,290.0,13.0,1011.0
SAZS,2020-01-05 11:00,1578232800.0,-71.1575,-41.1512,840.00,10.0,2.0,290.0,8.0,1012.0
SAZS,2020-01-05 12:00,1578236400.0,-71.1575,-41.1512,840.00,11.0,2.0,320.0,12.0,1011.0
SAZS,2020-01-05 13:00,1578240000.0,-71.1575,-41.1512,840.00,11.0,2.0,290.0,17.0,1011.0
SAZS,2020-01-05 14:00,1578243600.0,-71.1575,-41.1512,840.00,12.0,3.0,290.0,18.0,1011.0
SAZS,2020-01-05 15:00,1578247200.0,-71.1575,-41.1512,840.00,13.0,3.0,290.0,21.0,1011.0
SAZS,2020-01-05 16:00,1578250800.0,-71.1575,-41.1512,840.00,13.0,3.0,290.0,19.0,1011.0
SAZS,2020-01-05 17:00,1578254400.0,-71.1575,-41.1512,840.00,12.0,4.0,290.0,19.0,1010.0
SAZS,2020-01-05 18:00,1578258000.0,-71.1575,-41.1512,840.00,14.0,4.0,290.0,26.0,1009.0
SAZS,2020-01-05 19:00,1578261600.0,-71.1575,-41.1512,840.00,13.0,4.0,290.0,24.0,1009.0
SAZS,2020-01-05 20:00,1578265200.0,-71.1575,-41.1512,840.00,13.0,5.0,290.0,22.0,1009.0
SAZS,2020-01-05 21:00,1578268800.0,-71.1575,-41.1512,840.00,12.0,6.0,290.0,23.0,1009.0
SAZS,2020-01-05 22:00,1578272400.0,-71.1575,-41.1512,840.00,12.0,5.0,290.0,23.0,1009.0
SAZS,2020-01-05 23:00,1578276000.0,-71.1575,-41.1512,840.00,11.0,4.0,280.0,23.0,1009.0
SAZS,2020-01-06 00:00,1578279600.0,-71.1575,-41.1512,840.00,11.0,3.0,290.0,18.0,1010.0
SAZS,2020-01-06 01:00,1578283200.0,-71.1575,-41.1512,840.00,10.0,2.0,280.0,20.0,1011.0
SAZS,2020-01-06 02:00,1578286800.0,-71.1575,-41.1512,840.00,9.0,1.0,290.0,18.0,1012.0
SAZS,2020-01-06 03:00,1578290400.0,-71.1575,-41.1512,840.00,9.0,1.0,290.0,19.0,1012.0
SAZS,2020-01-06 04:00,1578294000.0,-71.1575,-41.1512,840.00,9.0,2.0,290.0,17.0,1012.0
SAZS,2020-01-06 05:00,1578297600.0,-71.1575,-41.1512,840.00,8.0,2.0,300.0,19.0,1012.0
SAZS,2020-01-06 06:00,1578301200.0,-71.1575,-41.1512,840.00,8.0,2.0,300.0,18.0,1012.0
SAZS,2020-01-06 07:00,1578304800.0,-71.1575,-41.1512,840.00,8.0,1.0,300.0,17.0,1012.0
SAZS,2020-01-06 08:00,1578308400.0,-71.1575,-41.1512,840.00,8.0,0.0,290.0,17.0,1012.0
SAZS,2020-01-06 09:00,1578312000.0,-71.1575,-41.1512,840.00,8.0,2.0,290.0,18.0,1012.0
SAZS,2020-01-06 10:00,1578315600.0,-71.1575,-41.1512,840.00,8.0,2.0,300.0,17.0,1012.0
SAZS,2020-01-06 11:00,1578319200.0,-71.1575,-41.1512,840.00,9.0,0.0,290.0,16.0,1012.0
SAZS,2020-01-06 12:00,1578322800.0,-71.1575,-41.1512,840.00,9.0,2.0,290.0,22.0,1013.0
SAZS,2020-01-06 13:00,1578326400.0,-71.1575,-41.1512,840.00,11.0,2.0,290.0,20.0,1012.0
SAZS,2020-01-06 14:00,1578330000.0,-71.1575,-41.1512,840.00,12.0,3.0,300.0,26.0,1012.0
SAZS,2020-01-06 15:00,1578333600.0,-71.1575,-41.1512,840.00,12.0,2.0,300.0,24.0,1013.0
SAZS,2020-01-06 16:00,1578337200.0,-71.1575,-41.1512,840.00,13.0,3.0,300.0,20.0,1013.0
SAZS,2020-01-06 17:00,1578340800.0,-71.1575,-41.1512,840.00,13.0,3.0,300.0,22.0,1013.0
SAZS,2020-01-06 18:00,1578344400.0,-71.1575,-41.1512,840.00,14.0,3.0,290.0,23.0,1013.0
